,Timestamp,Weighted_Price
0,2011-12,4.471602874575
1,2012-01,6.34595483543593
2,2012-02,5.228442980973837
3,2012-03,4.984397360075208
4,2012-04,4.995090718708689
5,2012-05,5.046847559921378
6,2012-06,6.047197571831972
7,2012-07,7.907613306313166
8,2012-08,10.984669770420167
9,2012-09,11.435691845594377
10,2012-10,11.586088544128357
11,2012-11,11.307918536370346
12,2012-12,13.167810684764293
13,2013-01,15.80688958842458
14,2013-02,26.805143085886172
15,2013-03,60.49568098476899
16,2013-04,127.48148456031987
17,2013-05,117.7802933691845
18,2013-06,106.52548150961317
19,2013-07,85.32609283353034
20,2013-08,104.60029150382923
21,2013-09,124.96623962639907
22,2013-10,153.7067767692847
23,2013-11,532.941844421203
24,2013-12,795.1462589620049
25,2014-01,820.0977757781333
26,2014-02,657.5120464293102
27,2014-03,591.4750083825321
28,2014-04,461.2922036525254
29,2014-05,490.38954887380476
30,2014-06,613.7050891391739
31,2014-07,617.7769044009967
32,2014-08,532.9584017279093
33,2014-09,442.92657766841666
34,2014-10,362.71021397612685
35,2014-11,367.47841784237636
36,2014-12,342.30694244058134
37,2015-01,243.4967625333533
38,2015-02,233.6478401402434
39,2015-03,268.14881471683407
40,2015-04,233.52432605964782
41,2015-05,236.47091661425975
42,2015-06,237.7204481436872
43,2015-07,279.07671664577646
44,2015-08,250.82073144373106
45,2015-09,233.60724330606658
46,2015-10,267.9547618267851
47,2015-11,350.3635929094729
48,2015-12,422.09076362758833
49,2016-01,410.2162910103271
50,2016-02,401.7323196159571
51,2016-03,415.13654173449174
52,2016-04,431.31544374186444
53,2016-05,462.08812300659196
54,2016-06,642.7392999620101
55,2016-07,660.4394318691967
56,2016-08,578.062420793102
57,2016-09,603.0903280430373
58,2016-10,641.0369158535833
59,2016-11,723.1940338336148
60,2016-12,826.6988332431816
61,2017-01,908.1518059345642
62,2017-02,1060.6621871995576
63,2017-03,1128.963271407873
64,2017-04,1208.9928610328936
65,2017-05,1885.1901248628317
66,2017-06,2619.1944318533615
67,2017-07,2491.2714880921476
68,2017-08,3834.6736399730357
69,2017-09,4085.7518285531496
70,2017-10,5293.800260907698
71,2017-11,7754.6252293078915
72,2017-12,14840.89423902525
73,2018-01,12894.950040362268
74,2018-02,9389.696046105431
75,2018-03,9023.731019708977
76,2018-04,7985.222523823854
77,2018-05,8439.758860433258
78,2018-06,6783.390080432459
79,2018-07,7096.708054606205
80,2018-08,6693.230559927961
81,2018-09,6586.987311222546
82,2018-10,6416.713229952524
83,2018-11,5321.281996677438
84,2018-12,3672.419305691002
85,2019-01,3659.467919257481
86,2019-02,3653.638676543305
87,2019-03,3919.370871566846
88,2019-04,5139.1121450268665
89,2019-05,7234.32531531509
90,2019-06,9361.787471802674
91,2019-07,10671.368500680319
92,2019-08,11263.834560881884
